"","newdate","Islamophobia","Anti_Muslim"
"297","2011-09-24",0,"1"
"298","2011-09-24",0,"1"
"299","2011-09-25",3,"0"
"300","2011-09-26",4,"0"
"301","2011-09-27",1,"0"
"302","2011-09-28",2,"1"
"303","2011-09-29",2,"0"
"304","2011-09-30",0,"1"
"305","2011-10-01",2,"1"
"306","2011-10-02",0,"1"
"307","2011-10-03",1,"1"
"308","2011-10-04",0,"0"
"309","2011-10-05",0,"1"
"310","2011-10-06",4,"0"
"311","2011-10-07",1,"0"
"312","2011-10-08",0,"1"
"313","2011-10-09",0,"0"
"314","2011-10-10",6,"0"
"315","2011-10-11",0,"0"
"316","2011-10-12",0,"0"
"317","2011-10-13",5,"0"
"318","2011-10-14",0,"1"
"319","2011-10-15",1,"1"
"320","2011-10-16",0,"0"
"321","2011-10-17",0,"0"
"322","2011-10-18",0,"0"
"323","2011-10-19",5,"0"
"324","2011-10-20",0,"0"
"325","2011-10-21",2,"0"
"326","2011-10-22",0,"1"
"327","2011-10-23",0,"0"
"328","2011-10-24",0,"0"
"329","2011-10-25",0,"0"
"330","2011-10-26",0,"0"
"331","2011-10-27",0,"0"
"332","2011-10-28",1,"0"
"333","2011-10-29",0,"0"
"334","2011-10-30",0,"0"
"335","2011-10-31",0,"0"
"336","2011-11-01",2,"1"
"337","2011-11-02",0,"1"
"338","2011-11-03",1,"1"
"339","2011-11-04",0,"0"
"340","2011-11-05",0,"1"
"341","2011-11-06",3,"0"
"342","2011-11-07",0,"1"
"343","2011-11-08",0,"0"
"344","2011-11-09",0,"0"
"345","2011-11-10",0,"0"
"346","2011-11-11",2,"0"
"347","2011-11-12",0,"0"
"348","2011-11-13",1,"0"
"349","2011-11-14",5,"0"
"350","2011-11-15",1,"0"
"351","2011-11-16",0,"0"
"352","2011-11-17",5,"0"
"353","2011-11-18",2,"1"
"354","2011-11-18",2,"1"
"355","2011-11-18",2,"1"
"356","2011-11-19",0,"0"
"357","2011-11-20",0,"0"
"358","2011-11-21",1,"1"
"359","2011-11-22",5,"0"
"360","2011-11-23",4,"0"
"361","2011-11-24",0,"0"
"362","2011-11-25",6,"1"
"363","2011-11-26",1,"1"
"364","2011-11-26",1,"1"
"365","2011-11-27",1,"1"
"366","2011-11-28",3,"0"
"367","2011-11-29",0,"0"
"368","2011-11-30",0,"0"
"369","2011-12-01",2,"1"
"370","2011-12-02",0,"0"
"371","2011-12-03",0,"1"
"372","2011-12-03",0,"1"
"373","2011-12-04",0,"0"
"374","2011-12-05",0,"0"
"375","2011-12-06",0,"0"
"376","2011-12-07",0,"0"
"377","2011-12-08",0,"0"
"378","2011-12-09",0,"0"
"379","2011-12-10",0,"0"
"380","2011-12-11",0,"0"
"381","2011-12-12",19,"0"
"382","2011-12-13",14,"1"
"383","2011-12-14",7,"1"
"384","2011-12-15",5,"0"
"385","2011-12-16",2,"0"
"386","2011-12-17",5,"0"
"387","2011-12-18",7,"0"
"388","2011-12-19",0,"1"
"389","2011-12-20",0,"0"
"390","2011-12-21",3,"0"
"391","2011-12-22",8,"1"
"392","2011-12-23",0,"0"
"393","2011-12-24",0,"0"
"394","2011-12-25",0,"0"
"395","2011-12-26",0,"0"
"396","2011-12-27",0,"0"
"397","2011-12-28",0,"1"
"398","2011-12-29",0,"0"
"399","2011-12-30",0,"1"
"400","2011-12-31",1,"1"
"401","2012-01-01",0,"1"
"402","2012-01-01",0,"1"
"403","2012-01-01",0,"1"
"404","2012-01-02",0,"0"
"405","2012-01-03",0,"0"
"406","2012-01-04",0,"0"
"407","2012-01-05",0,"1"
"408","2012-01-06",0,"0"
"409","2012-01-07",0,"1"
"410","2012-01-08",0,"0"
"411","2012-01-09",0,"1"
"412","2012-01-10",3,"1"
"413","2012-01-11",5,"1"
"414","2012-01-12",3,"1"
"415","2012-01-13",0,"0"
"416","2012-01-14",0,"1"
"417","2012-01-15",0,"0"
"418","2012-01-16",0,"1"
"419","2012-01-17",0,"0"
"420","2012-01-18",2,"0"
"421","2012-01-19",2,"1"
"422","2012-01-19",2,"1"
"423","2012-01-20",1,"0"
"424","2012-01-21",2,"1"
"425","2012-01-22",0,"1"
"426","2012-01-23",0,"0"
"427","2012-01-24",8,"1"
"428","2012-01-25",0,"0"
"429","2012-01-26",0,"1"
"430","2012-01-27",0,"0"
"431","2012-01-28",0,"0"
"432","2012-01-29",0,"0"
"433","2012-01-30",0,"0"
"434","2012-01-31",4,"0"
"435","2012-02-01",2,"0"
"436","2012-02-02",0,"0"
"437","2012-02-03",0,"0"
"438","2012-02-04",0,"1"
"439","2012-02-05",0,"0"
"440","2012-02-06",1,"0"
"441","2012-02-07",4,"0"
"442","2012-02-08",0,"0"
"443","2012-02-09",1,"0"
"444","2012-02-10",1,"0"
"445","2012-02-11",2,"0"
"446","2012-02-12",8,"0"
"447","2012-02-13",0,"0"
"448","2012-02-14",0,"0"
"449","2012-02-15",5,"1"
"450","2012-02-16",1,"1"
"451","2012-02-17",0,"0"
"452","2012-02-18",3,"0"
"453","2012-02-19",0,"1"
"454","2012-02-20",5,"0"
"455","2012-02-21",1,"0"
"456","2012-02-22",3,"1"
"457","2012-02-23",7,"1"
"458","2012-02-24",11,"1"
"459","2012-02-25",0,"0"
"460","2012-02-26",0,"0"
"461","2012-02-27",2,"0"
"462","2012-02-28",3,"1"
"463","2012-02-29",2,"0"
"464","2012-03-01",6,"0"
"465","2012-03-02",0,"0"
"466","2012-03-03",0,"0"
"467","2012-03-04",0,"0"
"468","2012-03-05",0,"0"
"469","2012-03-06",0,"1"
"470","2012-03-07",1,"1"
"471","2012-03-08",0,"0"
"472","2012-03-09",0,"0"
"473","2012-03-10",0,"0"
"474","2012-03-11",0,"0"
"475","2012-03-12",0,"0"
"476","2012-03-13",1,"1"
"477","2012-03-14",0,"0"
"478","2012-03-15",0,"0"
"479","2012-03-16",0,"0"
"480","2012-03-17",0,"1"
"481","2012-03-18",0,"0"
"482","2012-03-19",0,"1"
"483","2012-03-20",0,"0"
"484","2012-03-21",0,"0"
"485","2012-03-22",0,"1"
"486","2012-03-23",0,"1"
"487","2012-03-24",0,"0"
"488","2012-03-25",0,"1"
"489","2012-03-26",0,"0"
"490","2012-03-27",0,"0"
"491","2012-03-28",0,"1"
"492","2012-03-28",0,"1"
"493","2012-03-29",0,"0"
"494","2012-03-30",0,"0"
"495","2012-03-31",0,"0"
"496","2012-04-01",0,"0"
"497","2012-04-02",0,"1"
"498","2012-04-03",3,"0"
"499","2012-04-04",0,"0"
"500","2012-04-05",0,"0"
"501","2012-04-06",2,"0"
"502","2012-04-07",0,"0"
"503","2012-04-08",0,"0"
"504","2012-04-09",0,"0"
"505","2012-04-10",0,"0"
"506","2012-04-11",0,"0"
"507","2012-04-12",0,"0"
"508","2012-04-13",0,"0"
"509","2012-04-14",0,"0"
"510","2012-04-15",0,"0"
"511","2012-04-16",0,"1"
"512","2012-04-17",1,"0"
"513","2012-04-18",0,"0"
"514","2012-04-19",0,"0"
"515","2012-04-20",0,"1"
"516","2012-04-21",0,"0"
"517","2012-04-22",0,"1"
"518","2012-04-23",0,"0"
"519","2012-04-24",6,"1"
"520","2012-04-25",0,"1"
"521","2012-04-26",0,"0"
"522","2012-04-27",0,"0"
"523","2012-04-28",1,"1"
"524","2012-04-29",1,"0"
"525","2012-04-30",12,"0"
"526","2012-05-01",5,"0"
"527","2012-05-02",0,"1"
"528","2012-05-03",0,"0"
"529","2012-05-04",0,"1"
"530","2012-05-05",0,"0"
"531","2012-05-06",0,"0"
"532","2012-05-07",0,"0"
"533","2012-05-08",5,"0"
"534","2012-05-09",0,"0"
"535","2012-05-10",14,"1"
"536","2012-05-11",3,"0"
"537","2012-05-12",6,"0"
"538","2012-05-13",4,"0"
"539","2012-05-14",3,"1"
"540","2012-05-14",3,"1"
"541","2012-05-15",0,"1"
"542","2012-05-16",0,"1"
"543","2012-05-17",0,"1"
"544","2012-05-18",0,"0"
"545","2012-05-19",0,"1"
"546","2012-05-20",0,"1"
"547","2012-05-20",0,"1"
"548","2012-05-21",0,"0"
"549","2012-05-22",0,"0"
"550","2012-05-23",2,"0"
"551","2012-05-24",2,"0"
"552","2012-05-25",5,"0"
"553","2012-05-26",1,"0"
"554","2012-05-27",0,"0"
"555","2012-05-28",0,"0"
"556","2012-05-29",0,"0"
"557","2012-05-30",14,"1"
"558","2012-05-31",0,"0"
"559","2012-06-01",0,"1"
"560","2012-06-02",0,"1"
"561","2012-06-03",0,"1"
"562","2012-06-04",1,"0"
"563","2012-06-05",0,"0"
"564","2012-06-06",0,"0"
"565","2012-06-07",0,"0"
"566","2012-06-08",0,"0"
"567","2012-06-09",0,"1"
"568","2012-06-10",2,"0"
"569","2012-06-11",0,"0"
"570","2012-06-12",0,"1"
"571","2012-06-13",0,"0"
"572","2012-06-14",3,"1"
"573","2012-06-15",3,"1"
"574","2012-06-16",0,"0"
"575","2012-06-17",0,"0"
"576","2012-06-18",6,"0"
"577","2012-06-19",0,"1"
"578","2012-06-20",2,"0"
"579","2012-06-21",0,"0"
"580","2012-06-22",0,"1"
"581","2012-06-22",0,"1"
"582","2012-06-22",0,"1"
"583","2012-06-23",0,"0"
"584","2012-06-24",0,"1"
"585","2012-06-25",5,"1"
"586","2012-06-26",0,"0"
"587","2012-06-27",0,"1"
"588","2012-06-27",0,"1"
"589","2012-06-28",0,"0"
"590","2012-06-29",3,"1"
"591","2012-06-30",0,"1"
"592","2012-06-30",0,"1"
"593","2012-07-01",0,"0"
"594","2012-07-02",0,"0"
"595","2012-07-03",0,"1"
"596","2012-07-03",0,"1"
"597","2012-07-04",0,"1"
"598","2012-07-04",0,"1"
"599","2012-07-05",7,"0"
"600","2012-07-06",4,"0"
"601","2012-07-07",0,"0"
"602","2012-07-08",0,"0"
"603","2012-07-09",7,"0"
"604","2012-07-10",1,"0"
"605","2012-07-11",2,"0"
"606","2012-07-12",0,"1"
"607","2012-07-13",0,"0"
"608","2012-07-14",0,"0"
"609","2012-07-15",0,"0"
"610","2012-07-16",2,"1"
"611","2012-07-17",7,"1"
"612","2012-07-17",7,"1"
"613","2012-07-18",17,"0"
"614","2012-07-19",31,"0"
"615","2012-07-20",3,"0"
"616","2012-07-21",2,"0"
"617","2012-07-22",0,"0"
"618","2012-07-23",1,"0"
"619","2012-07-24",21,"0"
"620","2012-07-25",0,"0"
"621","2012-07-26",0,"0"
"622","2012-07-27",0,"1"
"623","2012-07-28",0,"0"
"624","2012-07-29",27,"1"
"625","2012-07-30",5,"0"
"626","2012-07-31",5,"0"
"627","2012-08-01",14,"0"
"628","2012-08-02",3,"1"
"629","2012-08-03",1,"1"
"630","2012-08-04",3,"1"
"631","2012-08-04",3,"1"
"632","2012-08-05",0,"0"
"633","2012-08-06",1,"1"
"634","2012-08-07",1,"0"
"635","2012-08-08",0,"1"
"636","2012-08-09",4,"1"
"637","2012-08-10",5,"0"
"638","2012-08-11",3,"1"
"639","2012-08-12",0,"0"
"640","2012-08-13",1,"1"
"641","2012-08-13",1,"1"
"642","2012-08-14",3,"1"
"643","2012-08-15",0,"1"
"644","2012-08-16",0,"0"
"645","2012-08-17",0,"0"
"646","2012-08-18",0,"0"
"647","2012-08-19",0,"1"
"648","2012-08-20",0,"0"
"649","2012-08-21",0,"0"
"650","2012-08-22",0,"0"
"651","2012-08-23",0,"0"
"652","2012-08-24",8,"0"
"653","2012-08-25",0,"0"
"654","2012-08-26",0,"1"
"655","2012-08-27",0,"0"
"656","2012-08-28",0,"0"
"657","2012-08-29",0,"1"
"658","2012-08-30",3,"0"
"659","2012-08-31",0,"0"
"660","2012-09-01",0,"1"
"661","2012-09-01",0,"1"
"662","2012-09-02",0,"0"
"663","2012-09-03",0,"0"
"664","2012-09-04",0,"0"
"665","2012-09-05",0,"0"
"666","2012-09-06",0,"1"
"667","2012-09-07",0,"0"
"668","2012-09-08",6,"0"
"669","2012-09-09",0,"1"
"670","2012-09-10",0,"0"
"671","2012-09-11",1,"0"
"672","2012-09-12",42,"0"
"673","2012-09-13",21,"1"
"674","2012-09-13",21,"1"
"675","2012-09-13",21,"1"
"676","2012-09-14",17,"1"
"677","2012-09-14",17,"1"
"678","2012-09-14",17,"1"
"679","2012-09-15",0,"1"
"680","2012-09-15",0,"1"
"681","2012-09-16",1,"0"
"682","2012-09-17",9,"0"
"683","2012-09-18",3,"0"
"684","2012-09-19",7,"1"
"685","2012-09-19",7,"1"
"686","2012-09-20",16,"0"
"687","2012-09-21",10,"1"
"688","2012-09-22",0,"0"
"689","2012-09-23",0,"0"
"690","2012-09-24",3,"0"
"691","2012-09-25",5,"1"
"692","2012-09-26",0,"0"
"693","2012-09-27",4,"1"
"694","2012-09-27",4,"1"
"695","2012-09-27",4,"1"
"696","2012-09-28",2,"0"
"697","2012-09-29",0,"1"
"698","2012-09-30",0,"0"
"699","2012-10-01",0,"1"
"700","2012-10-02",9,"0"
"701","2012-10-03",0,"1"
"702","2012-10-04",0,"1"
"703","2012-10-05",4,"0"
"704","2012-10-06",2,"0"
"705","2012-10-07",0,"0"
"706","2012-10-08",0,"0"
"707","2012-10-09",0,"0"
"708","2012-10-10",2,"0"
"709","2012-10-11",5,"0"
"710","2012-10-12",0,"0"
"711","2012-10-13",0,"0"
"712","2012-10-14",0,"0"
"713","2012-10-15",0,"1"
"714","2012-10-16",1,"0"
"715","2012-10-17",1,"0"
"716","2012-10-18",0,"1"
"717","2012-10-19",0,"0"
"718","2012-10-20",0,"0"
"719","2012-10-21",0,"0"
"720","2012-10-22",0,"0"
"721","2012-10-23",0,"0"
"722","2012-10-24",0,"0"
"723","2012-10-25",2,"0"
"724","2012-10-26",0,"0"
"725","2012-10-27",0,"0"
"726","2012-10-28",0,"1"
"727","2012-10-29",1,"0"
"728","2012-10-30",0,"0"
"729","2012-10-31",0,"0"
"730","2012-11-01",0,"0"
"731","2012-11-02",0,"1"
"732","2012-11-03",0,"0"
"733","2012-11-04",0,"0"
"734","2012-11-05",0,"0"
"735","2012-11-06",0,"0"
"736","2012-11-07",0,"1"
"737","2012-11-08",0,"1"
"738","2012-11-09",0,"1"
"739","2012-11-10",1,"0"
"740","2012-11-11",0,"0"
"741","2012-11-12",1,"0"
"742","2012-11-13",0,"1"
"743","2012-11-14",0,"1"
"744","2012-11-15",5,"0"
"745","2012-11-16",0,"1"
"746","2012-11-16",0,"1"
"747","2012-11-16",0,"1"
"748","2012-11-17",0,"1"
"749","2012-11-18",0,"1"
"750","2012-11-19",0,"1"
"751","2012-11-20",0,"1"
"752","2012-11-21",0,"1"
"753","2012-11-22",0,"0"
"754","2012-11-23",0,"0"
"755","2012-11-24",0,"0"
"756","2012-11-25",0,"1"
"757","2012-11-26",4,"0"
"758","2012-11-27",0,"1"
"759","2012-11-27",0,"1"
"760","2012-11-28",2,"0"
"761","2012-11-29",0,"0"
"762","2012-11-30",0,"0"
"763","2012-12-01",0,"0"
"764","2012-12-02",0,"1"
"765","2012-12-03",0,"0"
"766","2012-12-04",0,"1"
"767","2012-12-05",4,"0"
"768","2012-12-06",2,"1"
"769","2012-12-07",1,"0"
"770","2012-12-08",0,"0"
"771","2012-12-09",0,"1"
"772","2012-12-10",4,"0"
"773","2012-12-11",6,"0"
"774","2012-12-12",4,"0"
"775","2012-12-13",0,"0"
"776","2012-12-14",5,"0"
"777","2012-12-15",1,"1"
"778","2012-12-16",0,"0"
"779","2012-12-17",0,"0"
"780","2012-12-18",2,"0"
"781","2012-12-19",0,"1"
"782","2012-12-19",0,"1"
"783","2012-12-20",0,"0"
"784","2012-12-21",0,"0"
"785","2012-12-22",0,"0"
"786","2012-12-23",0,"0"
"787","2012-12-24",0,"0"
"788","2012-12-25",0,"0"
"789","2012-12-26",0,"0"
"790","2012-12-27",2,"0"
"791","2012-12-28",0,"0"
"792","2012-12-29",0,"1"
"793","2012-12-30",0,"0"
"794","2012-12-31",0,"0"
"795","2013-01-01",0,"0"
"796","2013-01-02",0,"0"
"797","2013-01-03",0,"0"
"798","2013-01-04",0,"0"
"799","2013-01-05",0,"0"
"800","2013-01-06",0,"0"
"801","2013-01-07",0,"0"
"802","2013-01-08",0,"0"
"803","2013-01-09",0,"0"
"804","2013-01-10",2,"0"
"805","2013-01-11",0,"0"
"806","2013-01-12",0,"0"
"807","2013-01-13",0,"0"
"808","2013-01-14",1,"0"
"809","2013-01-15",0,"0"
"810","2013-01-16",0,"0"
"811","2013-01-17",0,"0"
"812","2013-01-18",0,"1"
"813","2013-01-19",0,"0"
"814","2013-01-20",0,"0"
"815","2013-01-21",0,"0"
"816","2013-01-22",0,"0"
"817","2013-01-23",0,"0"
"818","2013-01-24",0,"1"
"819","2013-01-25",0,"0"
"820","2013-01-26",0,"0"
"821","2013-01-27",0,"1"
"822","2013-01-28",0,"0"
"823","2013-01-29",0,"0"
"824","2013-01-30",0,"0"
"825","2013-01-31",6,"0"
"826","2013-02-01",0,"0"
"827","2013-02-02",0,"0"
"828","2013-02-03",0,"0"
"829","2013-02-04",0,"1"
"830","2013-02-05",0,"0"
"831","2013-02-06",0,"0"
"832","2013-02-07",1,"1"
"833","2013-02-08",0,"1"
"834","2013-02-09",7,"0"
"835","2013-02-10",0,"1"
"836","2013-02-11",1,"0"
"837","2013-02-12",2,"0"
"838","2013-02-13",0,"0"
"839","2013-02-14",0,"0"
"840","2013-02-15",0,"0"
"841","2013-02-16",0,"0"
"842","2013-02-17",0,"0"
"843","2013-02-18",0,"0"
"844","2013-02-19",3,"1"
"845","2013-02-20",0,"0"
"846","2013-02-21",0,"0"
"847","2013-02-22",3,"1"
"848","2013-02-23",0,"0"
"849","2013-02-24",0,"0"
"850","2013-02-25",0,"0"
"851","2013-02-26",0,"1"
"852","2013-02-27",0,"1"
"853","2013-02-28",0,"0"
"854","2013-03-01",0,"0"
"855","2013-03-02",1,"1"
"856","2013-03-03",0,"1"
"857","2013-03-04",0,"1"
"858","2013-03-05",3,"0"
"859","2013-03-06",0,"0"
"860","2013-03-07",10,"0"
"861","2013-03-08",3,"1"
"862","2013-03-09",0,"0"
"863","2013-03-10",0,"0"
"864","2013-03-11",4,"0"
"865","2013-03-12",3,"0"
"866","2013-03-13",0,"1"
"867","2013-03-13",0,"1"
"868","2013-03-14",2,"0"
"869","2013-03-15",0,"1"
"870","2013-03-16",0,"0"
"871","2013-03-17",0,"0"
"872","2013-03-18",0,"0"
